1581774876089,-1.9081788,6.181829,7.240066,WALKING
1581774876109,-1.970428,6.167464,7.374141,WALKING
1581774876129,-1.8579005,6.1507044,7.539341,WALKING
1581774876150,-1.6400281,6.1123967,7.7452426,WALKING
1581774876169,-1.316811,6.030994,7.728483,WALKING
1581774876189,-1.0271125,5.971139,7.5345526,WALKING
1581774876209,-0.93852705,6.019023,7.2711906,WALKING
1581774876229,-0.8331822,6.0405707,6.8689647,WALKING
1581774876249,-1.1348516,6.117185,6.8641763,WALKING
1581774876269,-1.6232687,6.129156,6.9360023,WALKING
1581774876295,-1.4389153,6.0142345,6.9024835,WALKING
1581774876309,-0.93852705,5.7125654,7.2113357,WALKING
1581774876329,-1.1994951,5.717354,7.7691846,WALKING
1581774876349,-1.4748282,5.753267,8.224083,WALKING
1581774876369,-1.5562311,5.7748146,8.513782,WALKING
1581774876389,-1.520318,5.781997,8.3868885,WALKING
1581774876409,-1.3000516,5.7604494,8.09719,WALKING
1581774876429,-1.2473791,5.719748,7.8745294,WALKING
1581774876449,-1.4197617,5.755661,7.8290396,WALKING
1581774876469,-1.4053963,5.801151,7.728483,WALKING
1581774876489,-1.340753,5.7963624,7.5848308,WALKING
1581774876509,-1.4317327,5.872977,7.48188,WALKING
1581774876529,-1.3910311,5.920861,7.398083,WALKING
1581774876549,-1.1899183,5.9304376,7.374141,WALKING
1581774876569,-1.0199299,5.841852,7.524976,WALKING
1581774876589,-0.9528923,5.7843914,7.548918,WALKING
1581774876611,-0.9911995,5.78918,7.515399,WALKING
1581774876631,-1.043872,5.8681884,7.632715,WALKING
1581774876650,-1.0271125,5.877765,7.85777,WALKING
1581774876671,-0.8738836,5.8346696,8.09719,WALKING
1581774876714,-0.7445967,5.78918,7.73806,WALKING
1581774876714,-0.80684596,5.8107276,7.551312,WALKING
1581774876731,-1.1611878,5.9448028,7.3765354,WALKING
1581774876750,-1.4317327,6.0142345,7.28795,WALKING
1581774876770,-1.4317327,6.136339,7.0940194,WALKING
1581774876790,-1.292869,6.1123967,7.0940194,WALKING
1581774876810,-1.0319009,6.0381765,7.45315,WALKING
1581774876830,-1.0319009,5.90889,7.587225,WALKING
1581774876851,-0.9935937,5.9304376,7.441179,WALKING
1581774876871,-1.0749966,5.9998693,7.299921,WALKING
1581774876916,-1.1085154,5.997475,7.338228,WALKING
1581774876917,-0.9672575,5.9424086,7.4962454,WALKING
1581774876936,-1.0151415,5.8945246,7.6614456,WALKING
1581774876950,-1.079785,5.923255,7.8170686,WALKING
1581774876970,-1.2258313,5.9639564,7.61835,WALKING
